Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,SMA_20,SMA_50,Volatility_20,RSI,MACD,MACD_Signal,SMA_20_above_50,Golden_Cross,Death_Cross
2023-07-28,259.8599853515625,267.25,258.2300109863281,266.44000244140625,111446000,0.0,0.0,,,,,,0.0,0.0,False,False,False
2023-07-31,267.4800109863281,269.0799865722656,263.7799987792969,267.42999267578125,84582200,0.0,0.0,0.00371562162326855,,,,,0.02221131936096299,0.01233962186720166,False,False,False
2023-08-01,266.260009765625,266.4700012207031,260.25,261.07000732421875,83166000,0.0,0.0,-0.023781870118334214,,,,,-0.16892113567070055,-0.06194757384505333,False,False,False
2023-08-02,255.57000732421875,259.5199890136719,250.49000549316406,254.11000061035156,101752900,0.0,0.0,-0.02665954157355066,,,,,-0.5030004864206035,-0.2113557420617031,False,False,False
2023-08-03,252.0399932861328,260.489990234375,252.0,259.32000732421875,97569100,0.0,0.0,0.020502958173047814,,,,,-0.46662662461869786,-0.28729305838636837,False,False,False
2023-08-04,260.9700012207031,264.7699890136719,253.11000061035156,253.86000061035156,99539900,0.0,0.0,-0.02105509239416581,,,,,-0.6694630555750791,-0.3908823758653102,False,False,False
2023-08-07,251.4499969482422,253.64999389648438,242.75999450683594,251.4499969482422,111097900,0.0,0.0,-0.009493435973824349,,,,,-0.8971899937226908,-0.5190153268868611,False,False,False
2023-08-08,247.4499969482422,250.9199981689453,245.00999450683594,249.6999969482422,96642200,0.0,0.0,-0.006959634206558429,,,,,-1.1186919389406853,-0.6631288936845843,False,False,False
2023-08-09,250.8699951171875,251.10000610351562,241.89999389648438,242.19000244140625,101596300,0.0,0.0,-0.03007606967809695,,,,,-1.6276546599729613,-0.8859391307342006,False,False,False
2023-08-10,245.39999389648438,251.8000030517578,243.0,245.33999633789062,109498600,0.0,0.0,0.013006292021680244,,,,,-1.8027645117457496,-1.0913612377211157,False,False,False
2023-08-11,241.77000427246094,243.7899932861328,238.02000427246094,242.64999389648438,99038600,0.0,0.0,-0.01096438608281991,,,,,-2.0473307952582616,-1.3005219145613012,False,False,False
2023-08-14,235.6999969482422,240.66000366210938,233.75,239.75999450683594,98595300,0.0,0.0,-0.011910156448968756,,,,,-2.357531452172367,-1.5275232339717841,False,False,False
2023-08-15,238.72999572753906,240.5,232.61000061035156,232.9600067138672,88197600,0.0,0.0,-0.028361644764614224,,,,,-2.9404299046279334,-1.8265433741566364,False,False,False
