pipe_id,pipe_length_m,price_eur,supplier_id,is_outlier,target_price_market,target_price_benchmark,negotiation_room
1,4.37,5.54,S1,False,6.17,4.73,0.8099999999999996
2,9.56,12.16,S4,False,11.75,10.35,1.8100000000000005
3,7.59,10.05,S2,False,9.63,8.22,1.83
4,6.39,7.44,S1,False,8.34,6.92,0.5200000000000005
5,2.4,5.19,S2,False,4.05,2.6,2.5900000000000003
6,2.4,4.34,S3,False,4.05,2.6,1.7399999999999998
7,1.52,2.55,S3,False,3.1,1.65,0.8999999999999999
8,8.8,12.01,S1,False,10.93,9.53,2.4800000000000004
9,6.41,7.14,S1,False,8.36,6.94,0.1999999999999993
10,7.37,10.51,S2,False,9.4,7.98,2.5299999999999994
11,1.19,3.22,S4,False,2.75,1.29,1.9300000000000002
12,9.73,10.46,S2,False,11.93,10.54,-0.0799999999999983
13,8.49,12.13,S1,False,10.6,9.19,2.9400000000000013
14,2.91,4.88,S2,False,4.6,3.15,1.73
15,2.64,4.83,S1,False,4.31,2.86,1.9700000000000002
16,2.65,5.55,S2,False,4.32,2.87,2.6799999999999997
17,3.74,5.29,S1,False,5.49,4.05,1.2400000000000002
18,5.72,6.76,S1,False,7.62,6.19,0.5699999999999994
19,4.89,5.83,S1,False,6.73,5.3,0.5300000000000002
20,3.62,4.71,S4,False,5.36,3.92,0.79
21,6.51,8.37,S2,False,8.47,7.05,1.3199999999999994
22,2.26,4.09,S2,False,3.9,2.45,1.6399999999999997
23,3.63,5.59,S2,False,5.37,3.93,1.6599999999999997
24,4.3,6.84,S1,False,6.09,4.66,2.1799999999999997
25,5.1,6.97,S2,False,6.95,5.52,1.4500000000000002
26,8.07,12.36,S2,False,10.15,8.74,3.619999999999999
27,2.8,4.3,S1,False,4.48,3.03,1.27
28,5.63,10.59,S3,False,7.52,6.1,4.49
29,6.33,9.05,S1,False,8.28,6.86,2.1900000000000004
30,1.42,2.61,S2,False,2.99,1.54,1.0699999999999998
31,6.47,7.07,S1,False,8.43,7.01,0.0600000000000005
32,2.53,4.5,S3,False,4.19,2.74,1.7599999999999998
33,1.59,3.06,S1,False,3.18,1.72,1.34
34,9.54,12.99,S2,False,11.73,10.33,2.66
35,9.69,12.74,S3,False,11.89,10.49,2.25
36,8.28,10.26,S4,False,10.37,8.97,1.2899999999999991
37,3.74,4.79,S2,False,5.49,4.05,0.7400000000000002
38,1.88,2.69,S3,False,3.49,2.04,0.6499999999999999
39,7.16,8.55,S3,False,9.17,7.75,0.8000000000000007
40,4.96,7.68,S4,False,6.8,5.37,2.3099999999999996
41,2.1,3.84,S1,False,3.72,2.27,1.5699999999999998
42,5.46,5.97,S1,False,7.34,5.91,0.05999999999999961
43,1.31,2.95,S2,False,2.87,1.42,1.5300000000000002
44,9.18,12.0,S4,False,11.34,9.94,2.0600000000000005
45,3.33,4.38,S1,False,5.05,3.61,0.77
