Calcium,GillRate
Low,55
Low,63
Low,78
Low,85
Low,65
Low,98
Low,68
Low,84
Low,44
Low,87
Low,48
Low,86
Low,93
Low,64
Low,83
Low,79
Low,85
Low,65
Low,88
Low,47
Low,68
Low,86
Low,57
Low,53
Low,58
Low,47
Low,62
Low,64
Low,50
Low,45
Medium,38
Medium,42
Medium,63
Medium,46
Medium,55
Medium,63
Medium,36
Medium,58
Medium,73
Medium,69
Medium,55
Medium,68
Medium,63
Medium,73
Medium,45
Medium,79
Medium,41
Medium,83
Medium,60
Medium,48
Medium,59
Medium,33
Medium,67
Medium,43
Medium,57
Medium,72
Medium,46
Medium,74
Medium,68
Medium,83
High,59
High,45
High,63
High,52
High,59
High,78
High,72
High,53
High,69
High,68
High,57
High,63
High,68
High,83
High,38
High,85
High,68
High,63
High,58
High,48
High,42
High,42
High,80
High,42
High,52
High,37
High,57
High,62
High,40
High,42
