Entity,Code,Year,Cost of a healthy diet
Turks and Caicos Islands,TCA,2020,3.075
Turks and Caicos Islands,TCA,2021,3.229
Uganda,UGA,2017,2.749
Uganda,UGA,2018,2.712
Uganda,UGA,2019,2.679
Uganda,UGA,2020,2.671
Uganda,UGA,2021,2.774
United Arab Emirates,ARE,2017,2.755
United Arab Emirates,ARE,2018,2.835
United Arab Emirates,ARE,2019,2.902
United Arab Emirates,ARE,2020,3.111
United Arab Emirates,ARE,2021,3.269
United Kingdom,GBR,2017,1.822
United Kingdom,GBR,2018,1.873
United Kingdom,GBR,2019,1.937
United Kingdom,GBR,2020,1.911
United Kingdom,GBR,2021,1.95
United States,USA,2017,3.225
United States,USA,2018,3.24
United States,USA,2019,3.268
United States,USA,2020,3.383
United States,USA,2021,3.5
Upper-middle-income countries,,2017,3.498
Upper-middle-income countries,,2018,3.555
Upper-middle-income countries,,2019,3.648
Upper-middle-income countries,,2020,3.721
Upper-middle-income countries,,2021,3.912
Uruguay,URY,2017,3.073
Uruguay,URY,2018,3.17
Uruguay,URY,2019,3.254
Uruguay,URY,2020,3.414
Uruguay,URY,2021,3.543
Vietnam,VNM,2017,3.586
Vietnam,VNM,2018,3.663
Vietnam,VNM,2019,3.776
Vietnam,VNM,2020,4.072
Vietnam,VNM,2021,4.216
World,OWID_WRL,2017,3.295
World,OWID_WRL,2018,3.355
World,OWID_WRL,2019,3.431
World,OWID_WRL,2020,3.511
World,OWID_WRL,2021,3.662
Zambia,ZMB,2017,3.085
Zambia,ZMB,2018,3.15
Zambia,ZMB,2019,3.245
Zambia,ZMB,2020,3.3
Zambia,ZMB,2021,3.616
Zimbabwe,ZWE,2017,2.199685
