DFTA_ID,Provider Name,Event Name,Event Type,Description,Topics,Max Attendees,Event Location,City,State,ZipCode,Borough,Start Time,EndTime,Is Virtual,Is Live,Is Recurring,Event Accessibility,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
C9701,New Beginnings (Riverdale Y),Watercolor Painting with Dmitriy Moshkovich,Class / Workshop,"This Y-sponsored class for older adults will run for twelve weeks, starting Thursday, July 10th, 2025 at 10am and ending Thursday, September 25th, 2025.  Unlike NYC Aging-sponsored programs there is a fee for this class, but the cost for New Beginnings members is $120 for the 12-week session.  Please sign up and pay the full amount at the Y's reception desk on the first floor.  Registration opens up on Wednesday, June 4th, 2025 and will end on Thursday, July 3rd, 2025, or until spots are filled.  Spots are limited to 12.  Scholarships are available to those in financial need.  See director, Sharon Asherman, for scholarship information.",Arts & Culture,0,5625 Arlington Ave,Bronx,NY,10471,BRONX,09/25/2025 10:00:00 AM,09/25/2025 11:00:00 AM,No,Yes,Yes,,40.905009,-73.907133,208,11,2086312,2059520374,323,BX0803
C2501,Florence E Smith OAC,Line Dance,Physical Activity,This line dance class is a great group activity-dance along to classic songs led by a volunteer.,Social & Community,0,102-19 34 Avenue,Corona,NY,11368,Queens,12/12/2025 01:00:00 PM,12/12/2025 02:00:00 PM,No,Yes,Yes,Wheelchair Accessible,40.755742,-73.865988,403,21,4042602,4017170033,379,QN0303
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,09/02/2025 08:30:00 AM,09/02/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,09/04/2025 08:30:00 AM,09/04/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,09/15/2025 08:30:00 AM,09/15/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,09/18/2025 08:30:00 AM,09/18/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,09/30/2025 08:30:00 AM,09/30/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,10/07/2025 08:30:00 AM,10/07/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,10/08/2025 08:30:00 AM,10/08/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
C0205,Allen AME Rockaway Blvd Senior Center,News/ Views,Discussion,"A group of seniors come together to engage in lively discussions, sharing perspectives on everything from local politics to global affairs.",Social & Community,0,123-10 143rd St,Jamaica,NY,11436,Queens,10/09/2025 08:30:00 AM,10/09/2025 09:15:00 AM,No,Yes,Yes,Wheelchair Accessible,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
